farm_id,month,crop_yield_kg,fertilizer_used_kg,pesticide_cost,revenue_generated,yield_category,zone,crop_type,acreage,soil_type,installed_guardneer,install_date,farmer_name,farmer_phone,govt_subsidy_eligible,ph_level,salinity_ppm,EC,moisture_percent,organic_matter_percent,yield_per_acre,guardneer_effectiveness_score,profit_per_acre,liters_per_day_per_acre,irrigation_need_gap,reliability_score,soil_health_index
FARM_0001,2024-05-01,3312,11.7,616.05,30736.23,Medium,Jalgoan,Soybean,3.4,Loamy,No,2024-01-24,Farmer_0001,9799999041,No,6.86,758,918,17.1,3.51,974.1176470588236,,9040.067647058824,1803.972204266322,-13.505494505494505,,-189.507
FARM_0001,2024-06-01,3107,10.2,975.67,33092.03,Medium,Jalgoan,Soybean,3.4,Loamy,No,2024-01-24,Farmer_0001,9799999041,No,6.47,498,972,15.1,3.54,913.8235294117648,,9732.95,1803.972204266322,-13.505494505494505,,-112.29799999999999
FARM_0002,2024-01-01,1973,9.1,356.79,12373.4,Medium,Nashik,Wheat,1.9,Sandy,Yes,2024-01-18,Farmer_0002,9869758566,Yes,7.31,739,682,27.9,3.06,1038.421052631579,1.039721611480119,6512.315789473684,1997.695199537305,4.3791208791208796,90.9826923076923,-179.62199999999999
FARM_0002,2024-02-01,1917,11.9,510.94,14623.06,Medium,Nashik,Wheat,1.9,Sandy,Yes,2024-01-18,Farmer_0002,9869758566,Yes,6.91,528,812,19.7,2.31,1008.9473684210528,1.010211013283015,7696.347368421053,1997.695199537305,4.3791208791208796,90.9826923076923,-119.82700000000001
FARM_0002,2024-03-01,1853,11.4,634.16,12684.8,Medium,Nashik,Wheat,1.9,Sandy,Yes,2024-01-18,Farmer_0002,9869758566,Yes,7.24,803,835,16.8,3.28,975.2631578947368,0.9764846153434674,6676.210526315789,1997.695199537305,4.3791208791208796,90.9826923076923,-203.196
FARM_0002,2024-04-01,2005,17.6,259.64,23902.25,Medium,Nashik,Wheat,1.9,Sandy,Yes,2024-01-18,Farmer_0002,9869758566,Yes,7.3,654,1157,26.6,2.73,1055.2631578947369,1.0565848104498934,12580.131578947368,1997.695199537305,4.3791208791208796,90.9826923076923,-154.741
FARM_0002,2024-05-01,1832,8.1,852.37,18761.78,Medium,Nashik,Wheat,1.9,Sandy,Yes,2024-01-18,Farmer_0002,9869758566,Yes,6.21,723,867,19.7,2.77,964.2105263157896,0.9654181410195534,9874.62105263158,1997.695199537305,4.3791208791208796,90.9826923076923,-178.18900000000002
FARM_0002,2024-06-01,1961,16.7,817.02,12637.21,Medium,Nashik,Wheat,1.9,Sandy,Yes,2024-01-18,Farmer_0002,9869758566,Yes,6.91,567,921,21.2,3.39,1032.1052631578948,1.0333979118664542,6651.163157894736,1997.695199537305,4.3791208791208796,90.9826923076923,-130.603
FARM_0003,2024-01-01,2666,18.4,698.64,21289.04,Medium,Jalgoan,Banana,2.5,Loamy,Yes,2024-01-21,Farmer_0003,9870367623,Yes,6.76,524,1033,27.1,1.97,1066.4,0.969600286472018,8515.616,2203.4197802197805,-8.54945054945055,90.04315934065934,-115.76899999999999
FARM_0003,2024-02-01,2719,8.8,448.79,21619.04,Medium,Jalgoan,Banana,2.5,Loamy,Yes,2024-01-21,Farmer_0003,9870367623,Yes,7.1,614,1043,27.1,3.74,1087.6,0.9888759110717992,8647.616,2203.4197802197805,-8.54945054945055,90.04315934065934,-142.23799999999997
FARM_0003,2024-03-01,2831,18.6,577.77,19017.43,Medium,Jalgoan,Banana,2.5,Loamy,Yes,2024-01-21,Farmer_0003,9870367623,Yes,6.79,550,771,27.3,3.65,1132.4,1.0296093064524692,7606.972,2203.4197802197805,-8.54945054945055,90.04315934065934,-122.985
FARM_0003,2024-04-01,2885,16.6,808.63,27025.71,Medium,Jalgoan,Banana,2.5,Loamy,Yes,2024-01-21,Farmer_0003,9870367623,Yes,6.56,600,803,21.3,2.06,1154.0,1.049248622082435,10810.284,2203.4197802197805,-8.54945054945055,90.04315934065934,-140.862
FARM_0003,2024-05-01,2746,14.3,542.03,16894.81,Medium,Jalgoan,Banana,2.5,Loamy,Yes,2024-01-21,Farmer_0003,9870367623,Yes,6.9,479,817,22.8,3.26,1098.4,0.9986955688867822,6757.924000000001,2203.4197802197805,-8.54945054945055,90.04315934065934,-103.602
FARM_0003,2024-06-01,2906,9.3,225.14,28532.45,Medium,Jalgoan,Banana,2.5,Loamy,Yes,2024-01-21,Farmer_0003,9870367623,Yes,7.12,638,835,29.4,2.13,1162.4,1.056886133716311,11412.98,2203.4197802197805,-8.54945054945055,90.04315934065934,-149.001
FARM_0004,2024-01-01,2194,18.9,399.43,18566.28,Medium,Jalgoan,Soybean,2.3,Sandy,No,2024-02-23,Farmer_0004,9676588675,No,6.42,596,862,15.8,2.2,953.913043478261,,8072.295652173913,1807.4343048256092,-17.0989010989011,,-141.82
FARM_0004,2024-02-01,1986,17.1,383.04,12833.29,Medium,Jalgoan,Soybean,2.3,Sandy,No,2024-02-23,Farmer_0004,9676588675,No,7.74,571,910,17.2,2.72,863.4782608695652,,5579.691304347827,1807.4343048256092,-17.0989010989011,,-133.60399999999998
FARM_0004,2024-03-01,2104,19.2,846.5,20620.09,Medium,Jalgoan,Soybean,2.3,Sandy,No,2024-02-23,Farmer_0004,9676588675,No,7.34,712,1008,20.5,3.08,914.7826086956522,,8965.256521739131,1807.4343048256092,-17.0989010989011,,-174.476
FARM_0004,2024-04-01,2134,18.5,842.94,15192.84,Medium,Jalgoan,Soybean,2.3,Sandy,No,2024-02-23,Farmer_0004,9676588675,No,6.73,688,1288,16.4,3.59,927.826086956522,,6605.582608695653,1807.4343048256092,-17.0989010989011,,-168.763
FARM_0004,2024-05-01,2194,17.7,916.87,17350.2,Medium,Jalgoan,Soybean,2.3,Sandy,No,2024-02-23,Farmer_0004,9676588675,No,6.7,515,869,25.2,1.54,953.913043478261,,7543.565217391305,1807.4343048256092,-17.0989010989011,,-113.958
FARM_0004,2024-06-01,2281,9.3,382.35,19531.4,Medium,Jalgoan,Soybean,2.3,Sandy,No,2024-02-23,Farmer_0004,9676588675,No,6.85,367,863,24.7,1.94,991.7391304347829,,8491.913043478262,1807.4343048256092,-17.0989010989011,,-69.638
FARM_0005,2024-01-01,10809,8.1,608.6,91924.77,Medium,Mumbai,Banana,9.8,Sandy,Yes,2024-01-10,Farmer_0005,9005170175,No,6.72,832,693,28.9,3.69,1102.9591836734694,1.002840904404294,9380.07857142857,2201.604619869926,-15.725274725274724,85.91222527472527,-206.933
FARM_0005,2024-02-01,10806,10.7,295.89,86725.62,Medium,Mumbai,Banana,9.8,Sandy,Yes,2024-01-10,Farmer_0005,9005170175,No,6.9,722,603,27.3,2.89,1102.6530612244896,1.0025625694322138,8849.55306122449,2201.604619869926,-15.725274725274724,85.91222527472527,-174.81300000000002
FARM_0005,2024-03-01,10763,14.2,762.42,88060.47,Medium,Mumbai,Banana,9.8,Sandy,Yes,2024-01-10,Farmer_0005,9005170175,No,6.52,627,901,20.1,2.37,1098.265306122449,0.9985731014990668,8985.762244897958,2201.604619869926,-15.725274725274724,85.91222527472527,-149.349
FARM_0005,2024-04-01,10820,19.7,969.96,81265.71,Medium,Mumbai,Banana,9.8,Sandy,Yes,2024-01-10,Farmer_0005,9005170175,No,7.23,678,909,28.3,3.45,1104.0816326530612,1.0038614659685872,8292.419387755102,2201.604619869926,-15.725274725274724,85.91222527472527,-161.04500000000002
FARM_0005,2024-05-01,10588,11.4,229.51,102252.4,Medium,Mumbai,Banana,9.8,Sandy,Yes,2024-01-10,Farmer_0005,9005170175,No,6.8,634,908,15.1,1.9,1080.408163265306,0.9823368947943992,10433.918367346938,2201.604619869926,-15.725274725274724,85.91222527472527,-153.59
FARM_0005,2024-06-01,10777,14.0,241.18,82679.84,Medium,Mumbai,Banana,9.8,Sandy,Yes,2024-01-10,Farmer_0005,9005170175,No,6.79,879,944,24.8,2.06,1099.6938775510205,0.9998719980354402,8436.718367346937,2201.604619869926,-15.725274725274724,85.91222527472527,-223.16199999999998
FARM_0006,2024-01-01,7000,9.7,591.56,83397.32,Medium,Nashik,Tomato,7.8,Black,Yes,2024-01-24,Farmer_0006,9911644768,Yes,6.71,718,1081,24.7,3.62,897.4358974358975,0.99710111071371,10691.964102564105,1501.0974922513385,-8.56043956043956,88.91181318681319,-174.434
FARM_0006,2024-02-01,7050,10.9,737.71,74516.51,Medium,Nashik,Tomato,7.8,Black,Yes,2024-01-24,Farmer_0006,9911644768,Yes,6.75,723,1229,16.4,2.42,903.8461538461538,1.004223261504522,9553.398717948718,1501.0974922513385,-8.56043956043956,88.91181318681319,-179.614
FARM_0006,2024-03-01,7099,12.4,705.84,69578.56,Medium,Nashik,Tomato,7.8,Black,Yes,2024-01-24,Farmer_0006,9911644768,Yes,6.73,477,834,28.4,3.08,910.1282051282052,1.011202969279518,8920.328205128206,1501.0974922513385,-8.56043956043956,88.91181318681319,-100.81599999999999
FARM_0006,2024-04-01,6929,14.4,272.23,76300.87,Medium,Nashik,Tomato,7.8,Black,Yes,2024-01-24,Farmer_0006,9911644768,Yes,7.1,601,1140,23.7,2.73,888.3333333333334,0.9869876565907568,9782.16282051282,1501.0974922513385,-8.56043956043956,88.91181318681319,-140.001
FARM_0006,2024-05-01,6920,8.5,672.71,69652.47,Medium,Nashik,Tomato,7.8,Black,Yes,2024-01-24,Farmer_0006,9911644768,Yes,7.19,471,635,29.1,3.88,887.1794871794872,0.9857056694484104,8929.803846153847,1501.0974922513385,-8.56043956043956,88.91181318681319,-98.496
FARM_0006,2024-06-01,6963,8.2,609.67,51240.54,Medium,Nashik,Tomato,7.8,Black,Yes,2024-01-24,Farmer_0006,9911644768,Yes,7.14,566,992,15.2,3.82,892.6923076923077,0.991830719128509,6569.3,1501.0974922513385,-8.56043956043956,88.91181318681319,-132.57399999999998
FARM_0007,2024-01-01,9108,16.3,509.39,105838.42,Medium,Nashik,Soybean,9.7,Loamy,Yes,2024-03-25,Farmer_0007,9393120064,Yes,7.14,589,680,27.8,2.29,938.9690721649486,0.9898133617500728,10911.17731958763,1802.1558853517618,-20.912087912087912,87.7864010989011,-134.89299999999997
FARM_0007,2024-02-01,9262,9.7,472.85,61877.95,Medium,Nashik,Soybean,9.7,Loamy,Yes,2024-03-25,Farmer_0007,9393120064,Yes,6.55,632,600,29.0,3.24,954.8453608247424,1.0065493364656537,6379.170103092783,1802.1558853517618,-20.912087912087912,87.7864010989011,-147.028
FARM_0007,2024-03-01,9296,17.8,644.16,85317.79,Medium,Nashik,Soybean,9.7,Loamy,Yes,2024-03-25,Farmer_0007,9393120064,Yes,6.73,623,861,28.2,3.35,958.3505154639176,1.0102442919223404,8795.648453608248,1802.1558853517618,-20.912087912087912,87.7864010989011,-144.615
FARM_0007,2024-04-01,9091,10.9,274.48,103485.53,Medium,Nashik,Soybean,9.7,Loamy,Yes,2024-03-25,Farmer_0007,9393120064,Yes,6.66,762,1060,20.4,2.23,937.2164948453608,0.9879658840217296,10668.611340206186,1802.1558853517618,-20.912087912087912,87.7864010989011,-189.771
FARM_0007,2024-05-01,9240,12.1,479.37,95686.98,Medium,Nashik,Soybean,9.7,Loamy,Yes,2024-03-25,Farmer_0007,9393120064,Yes,7.15,677,953,27.0,3.12,952.577319587629,1.0041584829348564,9864.637113402065,1802.1558853517618,-20.912087912087912,87.7864010989011,-161.36399999999998
FARM_0007,2024-06-01,9293,18.8,909.67,99242.3,Medium,Nashik,Soybean,9.7,Loamy,Yes,2024-03-25,Farmer_0007,9393120064,Yes,8.16,743,980,28.4,2.34,958.041237113402,1.009918266440868,10231.16494845361,1802.1558853517618,-20.912087912087912,87.7864010989011,-180.83800000000002
FARM_0008,2024-01-01,4431,9.9,918.84,42708.52,Medium,Nashik,Tomato,5.0,Sandy,Yes,2024-03-29,Farmer_0008,9261207168,No,6.77,564,752,22.0,2.86,886.2,0.9846174048075744,8541.704,1499.3626373626373,3.1868131868131866,89.48752747252747,-129.54199999999997
FARM_0008,2024-02-01,4523,8.1,281.18,45144.11,Medium,Nashik,Tomato,5.0,Sandy,Yes,2024-03-29,Farmer_0008,9261207168,No,7.02,702,527,15.5,1.59,904.6,1.0050608264375218,9028.822,1499.3626373626373,3.1868131868131866,89.48752747252747,-173.923
FARM_0008,2024-03-01,4686,15.8,379.42,48139.63,Medium,Nashik,Tomato,5.0,Sandy,Yes,2024-03-29,Farmer_0008,9261207168,No,6.86,763,862,26.5,2.04,937.2,1.0412812364992765,9627.926,1499.3626373626373,3.1868131868131866,89.48752747252747,-187.68800000000002
FARM_0008,2024-04-01,4547,10.8,460.32,47647.78,Medium,Nashik,Tomato,5.0,Sandy,Yes,2024-03-29,Farmer_0008,9261207168,No,6.68,490,893,15.8,2.83,909.4,1.0103938929496818,9529.556,1499.3626373626373,3.1868131868131866,89.48752747252747,-109.831
FARM_0008,2024-05-01,4596,15.9,654.65,30159.18,Medium,Nashik,Tomato,5.0,Sandy,Yes,2024-03-29,Farmer_0008,9261207168,No,7.64,695,444,26.9,2.18,919.2,1.0212822370786756,6031.836,1499.3626373626373,3.1868131868131866,89.48752747252747,-167.086
FARM_0008,2024-06-01,4541,12.4,412.16,33893.74,Medium,Nashik,Tomato,5.0,Sandy,Yes,2024-03-29,Farmer_0008,9261207168,No,7.06,481,827,15.4,3.91,908.2,1.009060626321642,6778.748,1499.3626373626373,3.1868131868131866,89.48752747252747,-106.967
FARM_0009,2024-01-01,3317,18.7,704.91,35720.33,Medium,Jalgoan,Soybean,3.5,Clay,Yes,2024-02-29,Farmer_0009,9511897833,No,7.15,729,609,17.3,2.13,947.7142857142856,0.9990321203642768,10205.808571428572,1793.2307692307693,23.692307692307693,88.69557692307691,-181.141
FARM_0009,2024-02-01,3359,14.0,661.52,30080.2,Medium,Jalgoan,Soybean,3.5,Clay,Yes,2024-02-29,Farmer_0009,9511897833,No,6.9,864,930,24.9,2.2,959.7142857142856,1.011681909045404,8594.342857142858,1793.2307692307693,23.692307692307693,88.69557692307691,-218.57999999999998
FARM_0009,2024-03-01,3387,11.4,219.45,33439.29,Medium,Jalgoan,Soybean,3.5,Clay,Yes,2024-02-29,Farmer_0009,9511897833,No,7.64,754,546,20.3,3.39,967.7142857142856,1.0201151014994891,9554.082857142856,1793.2307692307693,23.692307692307693,88.69557692307691,-187.063
FARM_0009,2024-04-01,3239,10.1,952.37,37972.65,Medium,Jalgoan,Soybean,3.5,Clay,Yes,2024-02-29,Farmer_0009,9511897833,No,6.85,666,1004,22.1,1.74,925.4285714285714,0.9755396556707544,10849.328571428572,1793.2307692307693,23.692307692307693,88.69557692307691,-160.438
FARM_0009,2024-05-01,3302,8.2,942.65,28295.18,Medium,Jalgoan,Soybean,3.5,Clay,Yes,2024-02-29,Farmer_0009,9511897833,No,6.03,446,799,21.0,3.04,943.4285714285714,0.9945143386924457,8084.337142857143,1793.2307692307693,23.692307692307693,88.69557692307691,-94.48799999999999
FARM_0009,2024-06-01,3396,19.6,970.9,37756.92,Medium,Jalgoan,Soybean,3.5,Clay,Yes,2024-02-29,Farmer_0009,9511897833,No,6.63,533,876,20.6,3.06,970.2857142857144,1.022825770502588,10787.691428571428,1793.2307692307693,23.692307692307693,88.69557692307691,-120.742
FARM_0010,2024-01-01,7705,18.2,453.54,54065.65,Medium,Satara,Soybean,8.2,Sandy,No,2024-02-26,Farmer_0010,9190939971,No,7.35,601,653,16.1,3.11,939.6341463414636,,6593.371951219513,1798.6960600375237,10.692307692305869,,-142.927
FARM_0010,2024-02-01,7638,14.7,948.92,77725.65,Medium,Satara,Soybean,8.2,Sandy,No,2024-02-26,Farmer_0010,9190939971,No,7.14,610,772,29.1,2.94,931.4634146341464,,9478.737804878048,1798.6960600375237,10.692307692305869,,-140.478
FARM_0010,2024-03-01,7701,15.4,992.04,52678.72,Medium,Satara,Soybean,8.2,Sandy,No,2024-02-26,Farmer_0010,9190939971,No,7.48,414,1276,29.1,2.47,939.1463414634148,,6424.234146341464,1798.6960600375237,10.692307692305869,,-81.819
FARM_0010,2024-04-01,7805,14.2,901.9,81520.19,Medium,Satara,Soybean,8.2,Sandy,No,2024-02-26,Farmer_0010,9190939971,No,6.41,642,725,16.1,2.3,951.829268292683,,9941.486585365854,1798.6960600375237,10.692307692305869,,-155.47
FARM_0010,2024-05-01,7898,12.3,434.87,85742.01,Medium,Satara,Soybean,8.2,Sandy,No,2024-02-26,Farmer_0010,9190939971,No,6.82,727,921,24.4,3.69,963.1707317073171,,10456.34268292683,1798.6960600375237,10.692307692305869,,-177.233
FARM_0010,2024-06-01,7895,17.7,893.66,90630.2,Medium,Satara,Soybean,8.2,Sandy,No,2024-02-26,Farmer_0010,9190939971,No,6.79,721,975,19.2,1.94,962.8048780487806,,11052.463414634149,1798.6960600375237,10.692307692305869,,-178.03799999999998
FARM_0011,2024-01-01,3561,17.6,719.97,36364.22,Medium,Nashik,Tomato,3.9,Sandy,Yes,2024-01-23,Farmer_0011,9700368416,Yes,7.22,691,845,20.6,3.44,913.0769230769232,1.0144791586432915,9324.158974358976,1509.8619329388562,-38.46153846153846,91.58670329670329,-168.02799999999996
FARM_0011,2024-02-01,3895,17.5,912.0,31268.95,Medium,Nashik,Tomato,3.9,Sandy,Yes,2024-01-23,Farmer_0011,9700368416,Yes,7.04,682,809,27.9,2.57,998.7179487179488,1.109631093208543,8017.679487179487,1509.8619329388562,-38.46153846153846,91.58670329670329,-162.669
FARM_0011,2024-03-01,3432,14.9,228.75,30179.59,Medium,Nashik,Tomato,3.9,Sandy,Yes,2024-01-23,Farmer_0011,9700368416,Yes,7.25,722,1111,19.8,3.74,880.0,0.9777288605627008,7738.35641025641,1509.8619329388562,-38.46153846153846,91.58670329670329,-177.558
FARM_0011,2024-04-01,3486,14.5,429.23,33273.87,Medium,Nashik,Tomato,3.9,Sandy,Yes,2024-01-23,Farmer_0011,9700368416,Yes,7.01,648,823,29.3,2.93,893.8461538461538,0.9931127062708552,8531.76153846154,1509.8619329388562,-38.46153846153846,91.58670329670329,-151.80100000000002
FARM_0011,2024-05-01,3462,9.5,617.79,36766.31,Medium,Nashik,Tomato,3.9,Sandy,Yes,2024-01-23,Farmer_0011,9700368416,Yes,6.75,913,648,25.1,3.38,887.6923076923077,0.9862754415116756,9427.258974358974,1509.8619329388562,-38.46153846153846,91.58670329670329,-232.84599999999998
FARM_0011,2024-06-01,3618,10.6,698.31,23560.72,Medium,Nashik,Tomato,3.9,Sandy,Yes,2024-01-23,Farmer_0011,9700368416,Yes,6.64,693,975,16.4,2.74,927.6923076923076,1.0307176624463437,6041.210256410257,1509.8619329388562,-38.46153846153846,91.58670329670329,-170.518
FARM_0012,2024-01-01,3704,14.5,709.94,38360.65,Medium,Jalgoan,Wheat,3.7,Clay,Yes,2024-01-22,Farmer_0012,9188273204,Yes,7.02,498,1045,20.3,1.79,1001.081081081081,1.0023348738993283,10367.743243243243,2002.2943272943273,-8.489010989010989,89.60774725274726,-110.74299999999998
FARM_0012,2024-02-01,3634,19.7,613.04,28845.74,Medium,Jalgoan,Wheat,3.7,Clay,Yes,2024-01-22,Farmer_0012,9188273204,Yes,6.96,661,737,24.3,1.75,982.162162162162,0.9833922601917278,7796.145945945946,2002.2943272943273,-8.489010989010989,89.60774725274726,-158.05499999999998
FARM_0012,2024-03-01,3633,13.3,262.77,22350.6,Medium,Jalgoan,Wheat,3.7,Clay,Yes,2024-01-22,Farmer_0012,9188273204,Yes,7.07,523,755,16.3,3.97,981.891891891892,0.9831216514244764,6040.702702702702,2002.2943272943273,-8.489010989010989,89.60774725274726,-119.189
FARM_0012,2024-04-01,3785,19.6,868.78,38515.57,Medium,Jalgoan,Wheat,3.7,Clay,Yes,2024-01-22,Farmer_0012,9188273204,Yes,7.07,382,568,27.2,3.87,1022.9729729729728,1.024254184046695,10409.613513513514,2002.2943272943273,-8.489010989010989,89.60774725274726,-72.559
FARM_0012,2024-05-01,3579,9.9,400.19,33268.09,Medium,Jalgoan,Wheat,3.7,Clay,Yes,2024-01-22,Farmer_0012,9188273204,Yes,6.78,567,912,21.4,3.77,967.2972972972972,0.9685087779928988,8991.375675675674,2002.2943272943273,-8.489010989010989,89.60774725274726,-130.409
FARM_0012,2024-06-01,3666,16.6,728.16,28153.43,Medium,Jalgoan,Wheat,3.7,Clay,Yes,2024-01-22,Farmer_0012,9188273204,Yes,7.44,597,649,15.2,2.67,990.8108108108108,0.9920517407437738,7609.035135135135,2002.2943272943273,-8.489010989010989,89.60774725274726,-142.219
FARM_0013,2024-01-01,3932,13.0,398.18,31990.11,Medium,Mumbai,Sugarcane,3.1,Loamy,Yes,2024-03-08,Farmer_0013,9309777256,Yes,7.1,475,953,29.4,2.44,1268.3870967741934,1.0579979556331942,10319.390322580644,2502.805742644452,-8.697802197802197,89.04337912087912,-100.008
FARM_0013,2024-02-01,3823,17.1,211.51,25600.47,Medium,Mumbai,Sugarcane,3.1,Loamy,Yes,2024-03-08,Farmer_0013,9309777256,Yes,7.46,703,769,18.4,3.91,1233.225806451613,1.0286689176972792,8258.216129032258,2502.805742644452,-8.697802197802197,89.04337912087912,-172.36700000000002
FARM_0013,2024-03-01,3764,13.7,278.27,33686.65,Medium,Mumbai,Sugarcane,3.1,Loamy,Yes,2024-03-08,Farmer_0013,9309777256,Yes,7.07,601,869,29.5,2.81,1214.1935483870968,1.0127935668879309,10866.66129032258,2502.805742644452,-8.697802197802197,89.04337912087912,-137.65699999999998
FARM_0013,2024-04-01,3797,13.7,338.56,32666.01,Medium,Mumbai,Sugarcane,3.1,Loamy,Yes,2024-03-08,Farmer_0013,9309777256,Yes,6.77,817,1041,21.8,3.07,1224.8387096774193,1.0216730003914645,10537.42258064516,2502.805742644452,-8.697802197802197,89.04337912087912,-205.459
FARM_0013,2024-05-01,3883,15.6,236.24,32025.72,Medium,Mumbai,Sugarcane,3.1,Loamy,Yes,2024-03-08,Farmer_0013,9309777256,Yes,7.26,627,1287,19.2,1.97,1252.5806451612902,1.044813342249159,10330.877419354838,2502.805742644452,-8.697802197802197,89.04337912087912,-149.82899999999998
FARM_0013,2024-06-01,3576,15.5,602.51,39832.85,Medium,Mumbai,Sugarcane,3.1,Loamy,Yes,2024-03-08,Farmer_0013,9309777256,Yes,6.76,281,744,23.8,1.69,1153.548387096774,0.9622077032920404,12849.306451612902,2502.805742644452,-8.697802197802197,89.04337912087912,-44.272999999999996
FARM_0014,2024-01-01,2321,8.8,713.94,14295.2,Medium,Satara,Banana,2.2,Black,Yes,2024-02-03,Farmer_0014,9848599930,No,7.1,881,1040,25.3,1.91,1055.0,0.9592350921117582,6497.818181818182,2208.476523476523,-18.64835164835165,90.25142857142856,-223.60699999999997
FARM_0014,2024-02-01,2466,15.0,952.18,23310.72,Medium,Satara,Banana,2.2,Black,Yes,2024-02-03,Farmer_0014,9848599930,No,6.83,401,1216,29.0,3.67,1120.9090909090908,1.0191614550398946,10595.781818181818,2208.476523476523,-18.64835164835165,90.25142857142856,-77.59899999999999
FARM_0014,2024-03-01,2578,13.5,636.49,30030.58,Medium,Satara,Banana,2.2,Black,Yes,2024-02-03,Farmer_0014,9848599930,No,7.35,529,507,29.5,3.61,1171.8181818181818,1.0654494043361105,13650.263636363636,2208.476523476523,-18.64835164835165,90.25142857142856,-115.817
FARM_0014,2024-04-01,2296,12.6,968.95,26248.11,Medium,Satara,Banana,2.2,Black,Yes,2024-02-03,Farmer_0014,9848599930,No,7.41,582,1097,21.2,2.18,1043.6363636363635,0.9489029605724242,11930.95909090909,2208.476523476523,-18.64835164835165,90.25142857142856,-135.466
FARM_0014,2024-05-01,2448,8.9,455.18,27097.53,Medium,Satara,Banana,2.2,Black,Yes,2024-02-03,Farmer_0014,9848599930,No,7.0,607,759,21.8,1.82,1112.7272727272727,1.0117223203315744,12317.05909090909,2208.476523476523,-18.64835164835165,90.25142857142856,-142.834
FARM_0014,2024-06-01,2357,8.3,851.57,18127.99,Medium,Satara,Banana,2.2,Black,Yes,2024-02-03,Farmer_0014,9848599930,No,7.19,618,952,18.4,3.18,1071.3636363636365,0.9741133615283988,8239.995454545455,2208.476523476523,-18.64835164835165,90.25142857142856,-147.086
FARM_0015,2024-01-01,3170,15.5,901.98,33001.05,Medium,Mumbai,Soybean,3.3,Black,Yes,2024-03-10,Farmer_0015,9094244074,Yes,6.54,791,916,22.8,3.43,960.6060606060606,1.0126219727064116,10000.318181818184,1804.4871794871797,-14.807692307692308,91.21868131868132,-197.15099999999998
